Time,User,Executable,CommandLine,PID,Parent PID,Privileges
20150413175511.176652-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,35920,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175520.458668-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48032,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175526.090278-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,48252,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175537.447098-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45392,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175543.047508-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,55680,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175554.591528-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,31680,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175600.191938-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45304,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175611.657958-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,26280,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175620.128773-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45484,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175631.703994-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,49052,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175637.288803-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45556,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175651.110428-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45320,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175656.445637-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47204,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175708.083257-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,46700,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175716.569672-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,39748,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175734.774904-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,45100,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175740.266114-420,Brian-HP\Brian,C:\Windows\system32\igfxsrvc.exe,C:\Windows\system32\igfxsrvc.exe -Embedding,47412,700,SeChangeNotifyPrivilege|SeImpersonatePrivilege|SeCreateGlobalPrivilege|

20150413175742.200517-420,NT AUTHORITY\SYSTEM,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k WerSvcGroup,63188,588,N/A

